material,rmse,mae,r2,phonon_rmse,phonon_mae,phonon_scaled_rmse,phonon_rrmse,rmsd,maxd,spacegroup,benchmark_spacegroup,min_frequency,benchmark_min_frequency,max_frequency,benchmark_max_frequency,mean_frequency,benchmark_mean_frequency,volume,benchmark_volume,heat_capacity,benchmark_heat_capacity,entropy,benchmark_entropy,free_energy,benchmark_free_energy,k_diff_high_temp_limit,benchmark_k_diff_high_temp_limit
mp-27948,0.2372353551935143,0.1890918443906166,0.9478107076564336,0.2117699139477483,0.1745975739916781,0.141681062360155,0.0567734770883546,0.0111694696824454,0.0169978515807652,R-3m (166),R-3m (166),-0.0002016486147387,-0.5376513915567757,4.250979994348479,4.486547286835633,2.2724592561866594,2.320606965138764,236.068092473465,237.6733393258712,172.6021040000138,172.21656874045,379.0132883760684,365.306543117848,-60.71797878978965,-56.54650591423106,0.1942141580627132,0.1978815545198751
mp-2809,0.3283527949671208,0.2997330505919987,0.985020292451238,0.319557127010393,0.2963398387840945,0.1496984835788339,0.0272475254074154,0.0152152787322993,0.0230506656146141,Pnma (62),Pnma (62),-0.0032889777866775,-0.2861592936015529,9.474889412195472,10.014907912330052,4.7701281643986695,4.811858659032655,522.764097362662,515.7079119701428,471.7592536967223,468.8077176918665,785.1183712467415,744.7532307440365,-77.39380170922516,-64.36548728819315,0.443815698679237,0.449730968281923
mp-28246,0.6024744860732141,0.479523338738988,0.6227472378663133,0.4987672501189247,0.3923081113476085,0.3958212535624431,0.1730633027882504,4.784003540353398e-05,6.63579542504602e-05,Im-3m (229),R3m (160),-0.3558307761067532,-1.1002826012594364,3.077411684837928,4.147173478986734,2.3944332220143942,2.1605244834079844,116.1552161601248,115.7966969212077,99.01816333165218,96.7732362120618,232.2202489334403,210.8381889525806,-39.51515813860616,-33.55694466400085,0.2151003014121828,0.1942875612202375
mp-28423,0.1498123584388307,0.126543715177848,0.9957121038048028,0.1479463615020215,0.1255739010776078,0.1085627695241944,0.0228597005698051,0.0020363462063162,0.0036256725882324,I4_1md (109),I4_1md (109),-0.0001171438220015,-0.1046930557500784,7.804486936684656,8.140477001613624,4.224292981342691,4.165224594256237,301.737906885876,304.2493549779178,238.58884984773096,238.01620012915112,414.9165060284936,408.20471702705873,-46.286912572392666,-44.090897096757146,0.374663976807535,0.3684057501056438
mp-29138,0.4390219555230558,0.3815458105386494,0.9466810923854848,0.435361460583455,0.3910670187785514,0.3188000988496162,0.08162352456419,0.0060652578397889,0.0085775698963202,P4/mbm (127),P4/mbm (127),-0.0001208126942688,-0.0040895039324489,6.379351037160521,6.817775800306547,3.24475503947385,3.427242079472862,237.09770732516657,234.38172703052592,194.2457714583521,193.28778387943595,393.5372839807311,358.38381573761296,-56.56970063227876,-45.726931073039054,0.2895125032806823,0.3069715014868928
mp-29641,0.2424077123987882,0.203675318989726,0.9460143602437128,0.2215100873202538,0.1930571226622009,0.1438265603343902,0.0537723287172552,0.026843109194199,0.0451607028434205,P-3m1 (164),P-3m1 (164),-0.0001634878777783,-0.1973104926477742,4.824423856687504,5.058150679405582,2.4167268264552857,2.4920811889903782,404.0978629313309,395.4968824325207,295.4011115259688,294.6967888033084,629.2339034038916,603.1964595394223,-97.78794913136409,-89.835098996907,0.2066444085122471,0.2146212791359124
mp-29656,0.2859988838525667,0.2439648578278293,0.8973816129404211,0.2639130639137613,0.231831989298787,0.1600034574131481,0.0714307010078297,0.0001552356626305,0.0002195363794664,R-3m (166),R-3m (166),-0.4413952076281237,-0.9290643495955396,3.4736071850068715,3.895123263365421,2.10172949704586,2.1040909689436726,120.2249759103829,119.53077526653487,98.73795812183036,98.6200986561551,229.8645944620456,216.8543068174797,-38.81870107251473,-34.83356283169042,0.1866507682008351,0.1872215322996586
mp-29666,0.2312286553463286,0.1669056545294429,0.9583257703102656,0.2218931437453744,0.1582301420115999,0.1814958389183759,0.067740757524316,0.0168015561421049,0.0232010373931829,R-3m (166),R-3m (166),-2.9071867806613025e-05,-0.0925776744183892,4.444975922683246,4.5796510709006775,2.395656983105756,2.4767001686614423,170.65060728893494,174.1686059459357,123.0387470847972,122.78775451640011,262.313968771136,254.7340342159636,-40.77130028639191,-38.44859027159112,0.2039278566990634,0.2093974271853821
mp-29938,0.9099314673998372,0.8529503403882686,0.6669664480734969,0.9059722565557125,0.8509005817101802,0.1637985275280487,0.0447406041579903,0.0127683488747691,0.0183261467511685,Pnma (62),Pnma (62),-4.704064054841491e-05,-0.0190851713842022,4.907681556453795,6.407036085647798,3.209869892906772,3.310054729848505,1221.0785740241708,1215.5521624164155,981.7495312772452,970.0356925466524,2084.8646295319672,1769.5968506049046,-321.28541391683143,-223.0848276671038,0.2835898965483194,0.2928836779933246
mp-30133,0.3333227373166724,0.307006264789501,0.91961135624539,0.3229704491506989,0.3059781794123946,0.233672752345326,0.0750202252047648,0.0069034942550842,0.0123879498010097,Pnma (62),Pnma (62),-0.6995364165025069,-0.0941377411039692,4.723815413556845,4.946223112013065,2.731165277484805,2.891753553607064,523.8171687987209,523.1595978629852,486.0270078180448,488.73747794299055,991.055433912947,934.605146271242,-146.37372743936993,-127.64367650201342,0.2539389206973009,0.2689827372560055
